tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3
tt0035423	48000000	76019048	Meg Ryan	Hugh Jackman	Liev Schreiber	nm0000212	nm0413168	nm0000630
tt0113026	10000000	49666	Joel Grey	Barnard Hughes	Jean Louisa Kelly	nm0001297	nm0400464	nm0446465
tt0118589	22000000	5271666	Mariah Carey	Eric Benét	Max Beesley	nm0001014	nm0073160	nm0066586
tt0120467	120000	15927	Brian O'Halloran	Bryan Johnson	Jerry Lewkowitz	nm0641168	nm0424682	nm0507915
tt0120630	45000000	224834564	Mel Gibson	Julia Sawalha	Phil Daniels	nm0000154	nm0768018	nm0200057
tt0120667	100000000	330120875	Ioan Gruffudd	Michael Chiklis	Chris Evans	nm0344435	nm0004821	nm0262635
tt0120679	12000000	56298474	Salma Hayek	Alfred Molina	Geoffrey Rush	nm0000161	nm0000547	nm0001691
tt0120681	35000000	74558115	Johnny Depp	Heather Graham	Ian Holm	nm0000136	nm0001287	nm0000453
tt0120737	93000000	873174218	Elijah Wood	Ian McKellen	Orlando Bloom	nm0000704	nm0005212	nm0089217
tt0120753	8000000	105983	Jeremy Davies	Milla Jovovich	Mel Gibson	nm0001111	nm0000170	nm0000154
tt0120755	125000000	546388105	Tom Cruise	Dougray Scott	Thandie Newton	nm0000129	nm0779084	nm0628601
tt0120804	33000000	102984862	Milla Jovovich	Michelle Rodriguez	Ryan McCluskey	nm0000170	nm0735442	nm1011675
tt0120824	38000000	24690441	Kevin Spacey	Julianne Moore	Judi Dench	nm0000228	nm0000194	nm0001132
tt0120903	75000000	296339528	Patrick Stewart	Hugh Jackman	Ian McKellen	nm0001772	nm0413168	nm0005212
tt0120912	140000000	445135288	Tommy Lee Jones	Will Smith	Rip Torn	nm0000169	nm0000226	nm0001800
tt0120913	75000000	36754634	Matt Damon	Drew Barrymore	Bill Pullman	nm0000354	nm0000106	nm0000597
tt0120917	100000000	169327687	David Spade	John Goodman	Eartha Kitt	nm0005450	nm0000422	nm0457755
tt0121164	40000000	117195061	Johnny Depp	Helena Bonham Carter	Emily Watson	nm0000136	nm0000307	nm0001833
tt0121765	115000000	649436358	Hayden Christensen	Natalie Portman	Ewan McGregor	nm0159789	nm0000204	nm0000191
tt0121766	113000000	850035635	Hayden Christensen	Natalie Portman	Ewan McGregor	nm0159789	nm0000204	nm0000191
tt0122459	24000000	36609995	David Duchovny	Minnie Driver	Carroll O'Connor	nm0000141	nm0000378	nm0005279
tt0125022	35000000	57756408	Sigourney Weaver	Jennifer Love Hewitt	Gene Hackman	nm0000244	nm0001349	nm0000432
tt0126029	60000000	484409218	Mike Myers	Eddie Murphy	Cameron Diaz	nm0000196	nm0000552	nm0000139
tt0127349	8500000	270745	Billy Crudup	Bill Haugland	Nelson Landrieu	nm0001082	nm1123814	nm0485011
tt0130623	127500000	349822765	D.B. Sweeney	Julianna Margulies	Samuel E. Wright	nm0000665	nm0000523	nm0942787
tt0131704	76000000	35134820	Robert De Niro	Rene Russo	Piper Perabo	nm0000134	nm0000623	nm0005305
tt0132245	94000000	54744738	Sylvester Stallone	Kip Pardue	Til Schweiger	nm0000230	nm0661164	nm0001709
tt0133152	100000000	362211740	Mark Wahlberg	Helena Bonham Carter	Tim Roth	nm0000242	nm0000307	nm0000619
tt0133240	140000000	110041363	Joseph Gordon-Levitt	Emma Thompson	Martin Short	nm0330687	nm0000668	nm0001737
tt0134084	40000000	161834276	David Arquette	Neve Campbell	Courteney Cox	nm0000274	nm0000117	nm0001073
tt0134630	21000000	6620242	Huey Lewis	Gwyneth Paltrow	Paul Giamatti	nm0507271	nm0000569	nm0316079
tt0134847	23000000	53187659	Radha Mitchell	Cole Hauser	Vin Diesel	nm0593664	nm0369513	nm0004874
tt0134983	90000000	14828081	James Spader	Peter Facinelli	Robin Tunney	nm0000652	nm0004906	nm0000677
tt0138524	60000000	119898783	George Clooney	Catherine Zeta-Jones	Billy Bob Thornton	nm0000123	nm0001876	nm0000671
tt0138749	95000000	76432727	Kevin Kline	Kenneth Branagh	Rosie Perez	nm0000177	nm0000110	nm0001609
tt0138946	24000000	924036	Mark Wahlberg	Joaquin Phoenix	Charlize Theron	nm0000242	nm0001618	nm0000234
tt0139654	45000000	104876233	Denzel Washington	Ethan Hawke	Scott Glenn	nm0000243	nm0000160	nm0001277
tt0141399	44000000	3003296	Bette Midler	Nathan Lane	Stockard Channing	nm0000541	nm0001447	nm0000330
tt0141907	90000000	10372291	Warren Beatty	Diane Keaton	Nastassja Kinski	nm0000886	nm0000473	nm0000176
tt0141926	62000000	127666415	Matthew McConaughey	Bill Paxton	Harvey Keitel	nm0000190	nm0000200	nm0000172
tt0144084	7000000	34266564	Christian Bale	Justin Theroux	Josh Lucas	nm0000288	nm0857620	nm0524197
tt0144142	3000000	40361	Heather Graham	Casey Affleck	Luke Wilson	nm0001287	nm0000729	nm0005561
tt0144528	84000000	166339890	Eddie Murphy	Janet Jackson	Larry Miller	nm0000552	nm0001390	nm0588777
tt0144608	30000000	29245	Alice Amter	Clint Carmichael	Brendan Fraser	nm0025364	nm0138421	nm0000409
tt0144964	25000000	15843608	Christopher Lambert	Adrian Paul	Bruce Payne	nm0000483	nm0001600	nm0668271
tt0145487	139000000	825025036	Tobey Maguire	Kirsten Dunst	Willem Dafoe	nm0001497	nm0000379	nm0000353
tt0145937	3000000	155640	Belladonna	Marlon Brando	Elton John	nm0068643	nm0000008	nm0005056
tt0146309	80000000	66579890	Kevin Costner	Bruce Greenwood	Shawn Driscoll	nm0000126	nm0339304	nm0238057
tt0146316	115000000	274703340	Angelina Jolie	Jon Voight	Iain Glen	nm0001401	nm0000685	nm0322513
tt0146882	30000000	47126295	John Cusack	Iben Hjejle	Todd Louiso	nm0000131	nm0005013	nm0521974
tt0146984	80000000	39459427	Will Smith	Matt Damon	Charlize Theron	nm0000226	nm0000354	nm0000234
tt0149253	2200000	22885	Roy Scheider	Robert Farrior	Luca Zingaretti	nm0001702	nm0268454	nm0956956
tt0149367	28000000	7450414	Paul Newman	Linda Fiorentino	Dermot Mulroney	nm0000056	nm0000400	nm0000551
tt0149624	57000000	18133495	Matt Damon	Penélope Cruz	Henry Thomas	nm0000354	nm0004851	nm0001794
tt0156323	10000000	7201701	Norm MacDonald	Dave Chappelle	Elaine Stritch	nm0005172	nm0152638	nm0834626
tt0156812	6000000	35547761	Frankie Muniz	Kevin Bacon	Diane Lane	nm0005260	nm0000102	nm0000178
tt0156841	25000000	24362772	Madonna	Rupert Everett	Benjamin Bratt	nm0000187	nm0000391	nm0000973
tt0157191	16000000	1041741	Patrick Swayze	Lisa Niemi	George De La Pena	nm0000664	nm0001568	nm0209340
tt0157262	45000000	270813	Leslie Nielsen	Ophélie Winter	Ezio Greggio	nm0000558	nm0935807	nm0339619
tt0157472	26000000	38793283	Jesse Bradford	French Stewart	Paula Garcés	nm0103038	nm0829390	nm0305519
tt0158622	83000000	59468275	Mark Addy	Stephen Baldwin	Kristen Johnston	nm0004692	nm0000286	nm0005060
tt0159273	40000000	91753202	Gene Hackman	Owen Wilson	Gabriel Macht	nm0000432	nm0005562	nm0532683
tt0159365	79000000	173013509	Jude Law	Nicole Kidman	Renée Zellweger	nm0000179	nm0000173	nm0000250
tt0160009	60000000	40400425	Wesley Snipes	Anne Archer	Maury Chaykin	nm0000648	nm0000271	nm0001999
tt0160127	93000000	264105545	Cameron Diaz	Drew Barrymore	Lucy Liu	nm0000139	nm0000106	nm0005154
tt0160184	55000000	6632383	Sylvester Stallone	Charles S. Dutton	Polly Walker	nm0000230	nm0001165	nm0908116
tt0160399	30000000	8694320	Shane Brolly	Vincent D'Onofrio	Gary Sinise	nm0111274	nm0000352	nm0000641
tt0160484	50000000	31355910	Winona Ryder	Ben Chaplin	Sarah Wynter	nm0000213	nm0001035	nm0944077
tt0160797	60000000	71732303	Tommy Lee Jones	Samuel L. Jackson	Guy Pearce	nm0000169	nm0000168	nm0001602
tt0161081	100000000	291420351	Harrison Ford	Michelle Pfeiffer	Katharine Towne	nm0000148	nm0000201	nm0870007
tt0161083	60000000	38464131	Martin Lawrence	Danny DeVito	John Leguizamo	nm0001454	nm0000362	nm0000491
tt0161860	7082600	24322180	Juliane Köhler	Merab Ninidze	Matthias Habich	nm0477810	nm0632457	nm0352278
tt0162222	90000000	429632142	Tom Hanks	Helen Hunt	Paul Sanchez	nm0000158	nm0000166	nm0584052
tt0162346	7000000	8764007	Steve Buscemi	Thora Birch	Scarlett Johansson	nm0000114	nm0000301	nm0424060
tt0162650	46000000	107626125	Samuel L. Jackson	Vanessa Williams	Christian Bale	nm0000168	nm0001853	nm0000288
tt0162838	3500000	2841	Penelope Allen	Erick Avari	Alimi Ballard	nm0020897	nm0042805	nm0050584
tt0162983	60000000	51880044	Diane Keaton	Meg Ryan	Lisa Kudrow	nm0000473	nm0000212	nm0001435
tt0163025	93000000	368780809	Sam Neill	William H. Macy	Téa Leoni	nm0000554	nm0000513	nm0000495
tt0163676	24000000	5280035	Lori Heuring	Susan Ward	Matthew Settle	nm0005010	nm0911861	nm0786136
tt0163978	50000000	144056873	Leonardo DiCaprio	Daniel York	Patcharawan Patarakijjanon	nm0000138	nm0948679	nm0665265
tt0163983	65000000	40443010	Kim Basinger	Jimmy Smits	Rufus Sewell	nm0000107	nm0001751	nm0001722
tt0164003	17500000	1277187	Matt Dillon	James Caan	Natascha McElhone	nm0000369	nm0001001	nm0001523
tt0164052	95000000	190213455	Kevin Bacon	Elisabeth Shue	Josh Brolin	nm0000102	nm0000223	nm0000982
tt0164184	68000000	193921372	Ben Affleck	Morgan Freeman	Ian Mongrain	nm0000255	nm0000151	nm1172817
tt0164212	25000000	1308242	Morgan Freeman	Gene Hackman	Thomas Jane	nm0000151	nm0000432	nm0005048
tt0164334	60000000	105178561	Morgan Freeman	Michael Wincott	Monica Potter	nm0000151	nm0000699	nm0005321
tt0165832	7000000	8449	James Marsden	Gary Oldman	Kurt Russell	nm0005188	nm0000198	nm0000621
tt0165929	25000000	91036760	Jet Li	Aaliyah	Isaiah Washington	nm0001472	nm0004691	nm0913460
tt0165982	60000000	80767884	Brad Pitt	Catherine Zeta-Jones	Joseph Fiennes	nm0000093	nm0001876	nm0001212
tt0166110	16000000	8378853	Snoop Dogg	Pam Grier	Michael T. Weiss	nm0004879	nm0000427	nm0919117
tt0166158	4000000	6718	Billy Bob Thornton	Laura Dern	Diane Ladd	nm0000671	nm0000368	nm0002663
tt0166276	75000000	7622365	Brendan Fraser	Bridget Fonda	John Turturro	nm0000409	nm0000403	nm0001806
tt0166813	80000000	122563539	Matt Damon	James Cromwell	Daniel Studi	nm0000354	nm0000342	nm0836070
tt0166924	15000000	20129557	Naomi Watts	Laura Harring	Justin Theroux	nm0915208	nm0005009	nm0857620
tt0167190	66000000	99378985	Ron Perlman	Doug Jones	Selma Blair	nm0000579	nm0427964	nm0004757
tt0167203	50000000	14400327	Kim Basinger	Vincent Perez	Liam Aiken	nm0000107	nm0001641	nm0014582
tt0167261	94000000	927600630	Elijah Wood	Ian McKellen	Viggo Mortensen	nm0000704	nm0005212	nm0001557
tt0167456	57000000	28283637	Bill Paxton	Anthony Edwards	Ben Kingsley	nm0000200	nm0000381	nm0001426
tt0168446	6500000	65090	Stellan Skarsgård	Lena Headey	Jean Anderson	nm0001745	nm0372176	nm1530889
tt0168629	12800000	40031879	Björk	Catherine Deneuve	David Morse	nm0001951	nm0000366	nm0001556
tt0168786	12500000	23367586	Denzel Washington	Derek Luke	Joy Bryant	nm0000243	nm1035682	nm0117146
tt0170016	123000000	345141403	Jim Carrey	Taylor Momsen	Kelley	nm0000120	nm0597410	nm3679189
tt0170452	7000000	7838	Kathleen Turner	Danny Aiello	Cathy Moriarty	nm0000678	nm0000732	nm0001550
tt0170691	10000000	148701	Colin Farrell	Matthew Davis	Clifton Collins Jr.	nm0268199	nm0205127	nm0004286
tt0171356	14000000	3284444	Liam Neeson	Sandra Bullock	Oliver Platt	nm0000553	nm0000113	nm0001624
tt0171359	2000000	2046433	Ethan Hawke	Kyle MacLachlan	Diane Venora	nm0000160	nm0001492	nm0893204
tt0171433	29000000	59945183	Ben Stiller	Edward Norton	Jenna Elfman	nm0001774	nm0001570	nm0001184
tt0171580	35000000	29364989	Renée Zellweger	Morgan Freeman	Chris Rock	nm0000250	nm0000151	nm0001674
tt0172156	130000000	273339556	Will Smith	Martin Lawrence	Gabrielle Union	nm0000226	nm0001454	nm0005517
tt0172495	103000000	460583960	Russell Crowe	Joaquin Phoenix	Connie Nielsen	nm0000128	nm0001618	nm0001567
tt0172543	2430675	307159	Noah Taylor	Emily Hamilton	Romane Bohringer	nm0852965	nm0357838	nm0001960
tt0173716	10000000	1961544	Melanie Griffith	Stephen Dorff	Alicia Witt	nm0000429	nm0001151	nm0001860
