Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt5187816	10612000	8980243	Ji-Hyo Song	He Chen	David Belle	nm1391738	nm4369305	nm1042642	Super Express	2016	84	"Action,Comedy,Crime"	nm7717544	"nm0997841,nm8168882"	5.8	99	A modest super-express delivery courier gets entangled in a spiral of adventure and romance in Shanghaï	-0.153765345
tt0882978	25000000	21159516	Andy Lau	Sammo Kam-Bo Hung	Maggie Q	nm0490489	nm0005033	nm0702572	Three Kingdoms	2008	102	"Action,Drama,History"	nm0496752	"nm1210118,nm0496752,nm0526824"	6.2	5845	"His country torn asunder by civil war, Zhao Zilong, a common man heeds the call of duty and from the humblest of roots rises through the ranks on wings of courage and cunning to command an army charged with liberating the land from an evil warlord. Inspiring by action, honor and a dream of unifying his divided nation, Zhao Zilong's heroism becomes legend, but as the years pass and the throne changes hands the war still rages on. When a newly enthroned king decides peace can only be achieved by defeating the warlords once and for all, the aging Zhao Zilong embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time."	-0.153619394
tt1639093	6576700	5568195	Matthias Schweighöfer	Friedrich Mücke	Christian Friedel	nm0777788	nm3177935	nm3041056	Russendisko	2012	100	Comedy	nm2047699	"nm2047699,nm1631187"	5.6	1641	"Russendisko is the story of Wladimir, Andrej and Mischa. Three young Russian friends, who move from Moscow to Berlin in a lucky wave of emigration right after the fall of the Berlin wall. They take their chance looking for a better life and find themselves involved in the tales of everyday lunacy on the streets of Berlin and its spirit of the early nineties. Russendisko is a modern fairy tale, a story of friendship, of love, of dreams and the search for happiness and its fulfillment. The film is based on the mega selling novel by Wladimir Kaminer."	-0.153345271
tt0415689	2500000	2117269	Gyu-ri Kim	Se-eun Lee	Yu-ri Lee	nm0453589	nm1030823	nm1642097	Ouija Board	2004	92	"Horror,Thriller"	nm0014203	nm0014203	5.7	1321	"Yu-jin and her blind mother move to a small village from Seoul. On her first day at the new school, Yu-jin gets picked on by her classmates. Along with other victims of hatred, Yu-jin puts a curse on the four girls tormenting them through a Ouija Board. On her second day at school, one of the spellbound bursts into flames and dies just as she sits down where Yu-jin used the board. The next day, another victim burns to death, and now the school is enclosed by horror."	-0.153092739
tt2718028	2000000	1693944	Carlos Aragón	Mauricio García Lozano	Adrià Collado	nm0032737	nm4004013	nm0171630	Km 31-2	2016	105	Horror	nm0144511	nm0144511	3.7	198	"The police officer Martin Ugalde is called to investigate a series of kidnappings in Mexico City of kids between 6 and 9 years old. Immediately, he realizes these abductions have a special link with the case seven years before."	-0.153028423
tt4532826	100000000	84780546	Taron Egerton	Jamie Foxx	Ben Mendelsohn	nm5473782	nm0004937	nm0578853	Robin Hood	2018	116	"Action,Adventure,Thriller"	nm1163264	"nm9808366,nm3598916"	5.3	50367	A war-hardened crusader Robin of Loxley (Taron Egerton) and his Moorish commander (Jamie Foxx) mount an audacious revolt against the corrupt English crown.	-0.152194548
tt0494271	8094400	6863633	Kseniya Rappoport	Michele Placido	Claudia Gerini	nm0710938	nm0686375	nm0314358	The Unknown Woman	2006	118	"Drama,Mystery,Thriller"	nm0868153	"nm0868153,nm0211160"	7.4	12840	"A Ukrainian woman named Irena calculatedly insinuates herself into the lives of a young, affluent Italian family. Stopping at nothing to become the couple's trusted maid and the beloved nanny to their fragile young daughter, Irena risks everything in her quest to uncover the truth about the family. Like an intricately constructed jigsaw puzzle, The Unknown Woman reveals piece by piece the enigma of Irena's past."	-0.15205177
tt0804461	20000000	16974459	Kevin Bacon	John Goodman	Kelly Preston	nm0000102	nm0000422	nm0000593	Death Sentence	2007	105	"Action,Crime,Thriller"	nm1490123	"nm2259451,nm0307257"	6.8	66638	"When a family falls victim to a vicious attack perpetrated as a gang initiation ritual, the vengeful father, Nick Hume, vows to track down each person involved in the crime. A sympathetic homicide detective questions her pledge to assist Hume after suspecting that he may have turned to murder as a means of exacting his revenge."	-0.151277092
tt1972591	175000000	148675066	Charlie Hunnam	Astrid Bergès-Frisbey	Jude Law	nm0402271	nm2793591	nm0000179	King Arthur: Legend of the Sword	2017	126	"Action,Adventure,Drama"	nm0005363	"nm1703612,nm0005363,nm0927880,nm0229694"	6.8	173725	"An alternative version of the King Arthur legend. As a boy, Arthur is left orphaned after his father, King Uther Pendragon, and mother are killed in a war waged against them by Vortigern, who then assumes the throne. Arthur flees and is raised in a brothel, knowing very little of his birthright. Vortigern wants Arthur dead, to ensure there is no claimant to the throne. The legends foretell that only the next king will be able to draw Excalibur, Uther's sword, from the rock where it is lodged. So, in an effort to identify Arthur, Vortigern forces all the young men of Arthur's age to attempt to draw out the sword. Now it is Arthur's turn."	-0.150428199
tt0874292	500000	424825	Tom Parker	Ana Patricia Rojo	Dee Wallace	nm1245495	nm0737912	nm0908914	J-ok'el	2007	87	"Horror,Thriller"	nm1414144	"nm1414144,nm1841534,nm2256613,nm2408240,nm2482620"	3.3	196	"An unworldly and closed-minded American travels to a small village in exotic Chiapas, Mexico; at the behest of his estranged mother when his half-sister disappears during a local epidemic of kidnappings attributed to the legendary J-ok'el, the weeping woman, who drowned her own babies, centuries ago and whose spirit has returned to claim more children as her own."	-0.150351699
