Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt0284837	6973250	23280529	Sacha Baron Cohen	Emilio Rivera	Gina La Piana	nm0056187	nm0729256	nm0478834	Ali G Indahouse	2002	85	Comedy	nm0617042	"nm0056187,nm0563243"	6.2	80163	"Ali G unwittingly becomes a pawn in the evil Chancellor's plot to overthrow the Prime Minister of Great Britain. However, instead of bringing the Prime Minister down, Ali is embraced by the nation as the voice of youth and 'realness', making the Prime Minister and his government more popular than ever."	2.338547401
tt1020072	20000000	66787908	David Oyelowo	Carmen Ejogo	Tim Roth	nm0654648	nm0252238	nm0000619	Selma	2014	128	"Biography,Drama,History"	nm10564978	"nm0474861,nm1802260"	7.5	78873	"The unforgettable true story chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernay's ""Selma"" tells the story of how the revered leader and visionary Dr. Martin Luther King, Jr and his brothers and sisters in the movement prompted change that forever altered history."	2.339395233
tt0246002	7000000	23396049	LL Cool J	Jada Pinkett Smith	Vivica A. Fox	nm0005112	nm0000586	nm0000407	Kingdom Come	2001	94	"Comedy,Drama,Family"	nm0570408	"nm0098746,nm0428377"	5.6	1988	"This family has issues! When mean and surly Bud Slocumb keels over at breakfast, his family gathers for the wake and funeral: long-suffering widow Raynelle, unemployed son Junior who's cheating on his wife Charisse, son Ray Bud who holds a job and has a loving wife, Lucille, but struggles with alcoholism and with their difficulty having children. There's younger daughter Delightful, who constantly eats; religious Aunt Marguerite and her wayward son Royce; and, there's Juanita, their wealthy cousin's wife. They all descend on the town of Lula, struggle to say something nice about Bud, and face the challenge of sorting out their relationships with the living."	2.342292237
tt1588173	35000000	116980662	Nicholas Hoult	Teresa Palmer	John Malkovich	nm0396558	nm1954240	nm0000518	Warm Bodies	2013	98	"Comedy,Horror,Romance"	nm1349522	"nm3772853,nm1349522"	6.9	210693	"With much of the world's population now an undead horde, R is a young and oddly introspective zombie. While fighting with and feeding on a human scavenger party, R meets Julie and feels an urge to protect her. What happens next is the beginning of a strangely warm relationship that allows R to begin regaining his humanity. As this change spreads through the local undead population like a virus, Julie and R eventually have to face a larger issue when the very nature of their friendship is challenged. Caught between the paranoid human forces and the ferocious ""Bonies"", zombies who are a mutual threat, R and Julie must find a way to bridge the differences of each side to fight for a better world no one thought possible."	2.342304533
tt0785006	35000000	117000198	Emma Roberts	Jake T. Austin	Lisa Kudrow	nm0731075	nm1545471	nm0001435	Hotel for Dogs	2009	100	"Comedy,Family"	nm0294457	"nm0523094,nm0774792,nm0566407,nm0242028"	5.4	20189	"Animals are strictly forbidden at Andi and her little brother Bruce's foster home. But for Friday, the adorable dog they secretly care for, they're ready to risk everything. They finally find him an ideal shelter, a huge abandoned hotel that Bruce transforms thanks to his engineering genius. In what has become an incredible paradise for dogs, Friday is soon joined by all kinds of furry friends, so many in fact that their barks alert the neighbors...and the local pound, who can't understand the disappearance of all the stray dogs. Andi and Bruce will have to call on all their friends and all their imagination to stop the hotel's secret from being discovered."	2.342862704
tt0250323	3000000	10031529	Tilda Swinton	Goran Visnjic	Jonathan Tucker	nm0842770	nm0899681	nm0006958	The Deep End	2001	101	"Crime,Drama,Mystery"	"nm0796915,nm0569166"	"nm0390357,nm0569166,nm0796915"	6.5	10629	"With her husband perpetually away at work, a mother raises her children virtually alone. Her teenage son is testing the waters of the adult world, and early one morning she wakes to find the dead body of his gay lover on the beach of their rural lakeside home. What would you do? What is rational and what do you do to protect your child? How far do you go and when do you stop?"	2.343841885
tt0239395	60000000	200687492	Alec Baldwin	Tobey Maguire	Jeff Goldblum	nm0000285	nm0001497	nm0000156	Cats & Dogs	2001	87	"Action,Comedy,Family"	nm0349183	"nm0720135,nm0275629"	5.1	53541	"A secret war between cats and dogs quickly peaks as Professor Brody a scientist tries to create a serum to cure dog allergies in humans. As the unsuspecting humans go through their busy lives, the cats make several attempts to possess the formula, as their canine foes try tirelessly to stop them. Caught in the crossfire, a young beagle named Lou, adopted by the Brody family, tries hard to succeed as a secret agent, and in being a friend to the young Scotty Brody. A evil snow white cat named Mr. Tinkles is planning to sabotage the efforts of Professor Brody to discover a cure for human allergies to dogs. And he'll even make every person on Earth allergic to dogs so that he can take over the world with his army of evil cats!"	2.344791478
tt2215285	20000000	66899242	Tyler Perry	Eugene Levy	Denise Richards	nm1347153	nm0506405	nm0000612	Madea's Witness Protection	2012	114	"Comedy,Crime,Drama"	nm1347153	nm1347153	4.9	9615	A Wall Street investment banker who has been set up as the linchpin of his company's mob-backed Ponzi scheme is relocated with his family to Aunt Madea's southern home.	2.344961933
tt0425413	10000000	33463522	Simon Pegg	Thandie Newton	Hank Azaria	nm0670408	nm0628601	nm0000279	"Run, Fat Boy, Run"	2007	100	"Comedy,Romance,Sport"	nm0001710	"nm0085438,nm0670408"	6.6	63861	"Dennis is a clueless and slightly overweight guy, who left his pregnant fiancée five years earlier. Every day, Dennis tries to persuade the woman he loves to accept him back into his life, but everyday he fails. When he discovers that Libby has found a partner in the form of American Whit, frustration grows, and Dennis vows, that for once in his life, he will finish something. This something ends up being a Nike River-run in London. With his friends Gordon and Mr. Ghoshdashtidar by his side, Dennis begins training for the marathon he must finish."	2.346351865
tt0369339	65000000	217663246	Tom Cruise	Jamie Foxx	Jada Pinkett Smith	nm0000129	nm0004937	nm0000586	Collateral	2004	120	"Crime,Drama,Thriller"	nm0000520	nm0064181	7.5	339364	"This action thriller follows LA cabbie Max Durocher, the type of person who can wax poetic about other people's lives, which impresses U.S. Justice Department prosecutor Annie Farrell, one of his fares, so much that she gives him her telephone number at the end of her ride. Although a dedicated man as seen through the efficiency in which he does his work, he can't or won't translate that eloquence into a better life for himself. He deludes himself into believing that his now twelve year cabbie job is temporary and that someday he will own his own limousine service. He even lies to his hospitalized mother that he already owns one, with a further lie that he tells her as such primarily to make her happy, rather than the truth which is that he won't do anything to achieve that dream. One night, Max picks up a well dressed man named Vincent, who asks Max to be his only fare for the evening. For a flat fee of $600, plus an extra $100 if he gets to the airport on time - Vincent wants Max to..."	2.348665272
