Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt6044910	30200000	173128787	Hanyu Zhang	Eddie Peng	Baoguo Chen	nm1833620	nm2108643	nm0155158	Operation Mekong	2016	124	"Action,Adventure,Crime"	nm0482592	"nm0482592,nm4590863,nm8458425,nm8458426,nm2706978"	6.6	3540	"Two Chinese merchant ships were attacked in Mekong river and 13 crews were killed. Thai policemen found 9 hundred thousand crystal meth on the ships. This new shocked China. Gang Gao, the leader of Narcotics Corps in Yun Nan province was assigned to lead a special team to Golden Triangle to investigate. Cooperated with a informer, Fanxin Wu, Gao discovered that 13 crew member were brutally murdered and framed up. Gao and Wu decided to fight for justice out of China no matter what it takes."	4.732741102
tt0337103	30354000	40152148	Jean Reno	Benoît Magimel	Christopher Lee	nm0000606	nm0536095	nm0000489	Crimson Rivers 2: Angels of the Apocalypse	2004	97	"Action,Crime,Horror"	nm0196860	"nm0000108,nm0335096"	6	18638	"Chief Niemans is investigating a series of ritual murders: The victims are crucified. He teams up with young officer Reda, who gets embroiled after a man dressed as a monk tries to kill a confused guy Reda picked up on the street. Together with a specialist on christian mythology they uncover a mysterious group called ""Angels of the Apokalypse""."	0.322795898
tt0375040	30354000	2077208	Gérard Lanvin	Gérard Depardieu	Lucy Harrison	nm0487254	nm0000367	nm0365725	San Antonio	2004	95	"Action,Comedy"	nm0041474	"nm0201063,nm1417216"	3.5	693	"While a terrorist epidemy strikes the world leaders, the commissaire San-Antonio and his partner, the lieutenant Bérurier, have to escort the French ambassador in a British hotel. But after a negligence of Bérurier (one more little sex affair...), San-Antonio witnessed, helpless, to the ambassador's abduction, organized by a gorgeous Italian girl. Back to Paris, San-Antonio is dismissed by the police chief, Achille Hachille. A real godsend for Bérurier, who get promoted... But soon, the situation degenerates, when the president of the Republic mysteriously disappears. Immediate reaction from Police Minister : San-Antonio is the only one who can save the day. He has 48 hours and a secret squad to find the president. At the Elysée, San-Antonio finds Bérurier, the official investigator. But now, it's every man for himself : who will be the first to find the President ? There are multiple trails: terrorists, unscrupulous banks, international dealers, dishonest politicians, pretty woman ..."	-0.931567242
tt0393597	30354000	108976456	James Earl Jones	Patrick Stewart	Anggun	nm0000469	nm0001772	nm1163076	Earth	2007	90	Documentary	"nm0288144,nm1768412"	"nm0288144,nm1768412,nm0576282"	8	13915	"Feature-length version of the documentary TV series Planet Earth (2006), following the migration paths of four animal families."	2.59018424
tt0397530	30354000	3672809	Joseph Fiennes	Kristin Scott Thomas	Iain Glen	nm0001212	nm0000218	nm0322513	Man to Man	2005	122	Drama	nm0912224	"nm0101956,nm0275260,nm0288263,nm0912224"	6.5	1920	"1870. Dr. Jamie Dodd is elated : he has finally succeeded in capturing not one, but two pygmies. He brings them to Scotland with the help of Elena Van den Ende, an adventurous woman who sells wild animals to the zoos of Europe. His two anthropologist friends, Alexander and Fraser, and himself are certain they have discovered the missing link, which will make them famous. They start examining the pygmy couple from every angle and Jamie gradually discovers that Toko and Likola are just as sensitive and intelligent as any other homo sapiens. His two colleagues strongly reject this idea as it is glory they are after not the truth. Will Jamie be able to prove the two short people are genuine human beings and not freaks to be shown in a zoo?"	-0.879000828
tt1242516	30354000	1189887	Rutger Hauer	Raz Degan	F. Murray Abraham	nm0000442	nm0214641	nm0000719	Sword of War	2009	139	"Drama,History,War"	nm0553379	"nm0553379,nm1857001,nm0760437"	4.4	1192	"German Emperor Barbarossa will stop at nothing to conquer and build his empire. But a young man from Milan, along with his army of 900 men known as the Company of Death, is prepared to challenge the Emperor."	-0.960799665
tt1697064	30354000	5762946	Arnas Fedaravicius	Vilius Tumalavicius	Eleanor Tomlinson	nm4538500	nm4687827	nm1870434	Deadly Code	2013	110	"Crime,Drama"	nm0759368	"nm0750048,nm0677758,nm0759368,nm3880599"	6.4	7050	A drama based on a memoir about growing up as a member of the Urka community in the small republic of Transnistria.	-0.810142129
tt3759416	30354000	42800509	Roger Carel	Lorànt Deutsch	Laurent Lafitte	nm0136789	nm0222088	nm0480850	Astérix: Le domaine des dieux	2014	85	"Adventure,Animation,Comedy"	"nm3088151,nm1594248"	"nm0331453,nm0879853,nm1594248,nm3088151,nm1458578,nm0493857"	6.9	10290	"In order to wipe out the Gaulish village by any means necessary, Caesar plans to absorb the villagers into Roman culture by having an estate built next to the village to start a new Roman colony."	0.410045055
tt8893870	30509499	81096321	He Chen	Jiajia Deng	Jiahang Li	nm4369305	nm3934226	nm4369443	iPartment the Movie	2018	117	"Adventure,Comedy,Fantasy"	nm4387429	\N	2.7	77	"Action-comedy spoof of The Grave Robbers' Chronicle, from the creators of the iPartment TV show. Tenants of iPartment cross over to the world of The Lost Tomb, where they must help Wu Xie, Pang Zi and Zhang Qiling realize their destiny."	1.658067848
tt0186151	31000000	68106245	Dennis Quaid	Jim Caviezel	Shawn Doyle	nm0000598	nm0001029	nm0236495	Frequency	2000	118	"Crime,Drama,Mystery"	nm0387706	nm0256497	7.3	95793	"A rare atmospheric phenomenon allows a New York City firefighter to communicate with his son 30 years in the future via HAM radio. The son uses this opportunity to warn the father of his impending death in a warehouse fire, and manages to save his life. However, what he does not realize is that changing history has triggered a new set of tragic events, including the murder of his mother. The two men must now work together, 30 years apart, to find the murderer before he strikes so that they can change history--again."	1.196975574
tt0252501	31000000	30919415	Anthony Hopkins	Anton Yelchin	Hope Davis	nm0000164	nm0947338	nm0204706	Hearts in Atlantis	2001	101	"Drama,Mystery"	nm0382956	"nm0000175,nm0001279"	6.9	34433	"This is a gentle, innocent movie about the reflections of an aging man (David Morse), who returns to his home town after the death of his best friend. Memories of life at age eleven floods back as it was a magical time that changed his life. Three eleven-year-old children, Bobby Garfield (Anton Yelchin), Carol Gerber (Mika Boorem), and John ""Sully"" Sullivan (Will Rothhaar), share their lives. Carol and Bobby have a special affection for one another including sharing a kiss ""by which all others will be measured"". Bobby lives with his mother Liz (Hope Davis), a bitter, vain woman who looks for pleasures for herself without sharing much with her son. Into their lives comes mysterious new boarder Ted Brautigan (Sir Anthony Hopkins), who befriends the boy, but generates distrust from the mother. As time passes, the man and boy share confidences, and special powers are revealed. The man warns the boy to be on the lookout for the ""Low Men"", who were seeking him. The two share a summer's ..."	-0.002599548
tt0299977	31000000	177395557	Jet Li	Tony Chiu-Wai Leung	Maggie Cheung	nm0001472	nm0504897	nm0001041	Hero	2002	107	"Action,Adventure,History"	nm0955443	"nm1104077,nm0955443,nm0910841"	7.9	167651	"Ancient China and the Qin Empire is out to conquer the six kingdoms. This makes its king a target for assassination. However, one man has single-handedly ensured the safety of the king, by killing the three most notorious assassins in the land. Treated as a hero, he is summoned for an audience with the king."	4.722437138
tt0360201	31000000	41512007	Kirsten Dunst	Paul Bettany	Jon Favreau	nm0000379	nm0079273	nm0269463	Wimbledon	2004	98	"Comedy,Romance,Sport"	nm0518644	"nm0111845,nm0280814,nm0505662"	6.3	57187	"Peter Colt, an English tennis player in his thirties whose ranking slipped from 11th to 119th in the world, considers he never really had to fight for anything as his wealthy but all but close family easily put him through studies and allowed him to pursue his tennis ambitions, bravely exchanges jokes with his German sparring partner Dieter Prohl, in a similar position, but feels it's about time to admit he's getting too old to compete with fitter coming men (or boys) and intends, after a last Wimbledon, to take a job with the prestigious tennis club instead. Just then, by accident, he bumps into Lizzie Bradbury, the American rising star of female tennis, falls in love with her and finds her interest in him changes his entire perception, even gives him the strength to win again. But where will it lead them, especially when her overprotective father-manager Dennis Bradbury proves determined to nip their relationship in the bud, believing it detrimental to her career?"	0.339096957
tt1244659	31000000	15134293	Brendan Fraser	Keri Russell	Harrison Ford	nm0000409	nm0005392	nm0000148	Extraordinary Measures	2010	106	Drama	nm0891114	"nm0414608,nm2521452"	6.4	15787	"A Portland couple have two children with Pompe disease, a genetic anomaly that kills most before a child's tenth birthday. The husband, John, an advertising executive, contacts Robert Stonehill, a researcher in Nebraska who has done innovative research for an enzyme treatment. He has little money to fund his laboratory, and a thorny personality that drives away colleagues and funders. John and his wife Aileen raise money to help Stonehill's research and the required clinical trials. John takes on the task full time, working with venture capitalists and then rival teams of researchers. Time is running short, Stonehill's angry outburst hinder the company's faith in him, and the profit motive may upend John's hopes. The researchers race against time for the children who have the disease."	-0.511797016
tt1524930	31000000	104884188	Ed Helms	Christina Applegate	Skyler Gisondo	nm1159180	nm0000775	nm1711114	Vacation	2015	99	"Adventure,Comedy"	"nm0326246,nm0197855"	"nm0326246,nm0197855,nm0000455"	6.1	89290	"Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, an adult Rusty Griswold takes his wife and two sons on a cross-country road trip to Walley World. Needless to say, things don't go quite as planned."	2.383360794
tt1907668	31000000	161772375	Denzel Washington	Nadine Velazquez	Don Cheadle	nm0000243	nm1229204	nm0000332	Flight	2012	138	"Drama,Thriller"	nm0000709	nm0309691	7.3	307167	"Whip Whitaker is a commuter airline pilot. While on a flight from Orlando to Atlanta something goes wrong and the plane starts to fly erratically. With little choice Whip crashes the plane and saves almost all on board. When he wakes up in the hospital, his friend from the airline union introduces him to a lawyer who tells him there's a chance he could face criminal charges because his blood test reveals that he was intoxicated with alcohol and cocaine. He denies being impaired, so while an investigation is underway, he is told to keep his act together. However, letting go of his addiction is not as easy as it seems..."	4.218463541
