	tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3	primaryTitle	startYear	runtimeMinutes	genres	directors	writers	averageRating	numVotes	Story_Line	Ratio	Profitable
1064	tt0349889	20000000	1039526	Wesley Snipes	Jacqueline Obradors	Stuart Wilson	nm0000648	nm0005283	nm0934179	Unstoppable	2004	96	Action,Adventure,Drama	nm0141222	nm1129343	5.0	4552	Dean Cage is a former CIA operative who suffers from extreme PTSD. While in a program to resolve the stress of the loss his future brother-in-law Scott, he plans to meet Scott's sister at a diner to discuss their plans for marriage. But, he is mistaken for an FBI agent who is trying to stop the sell of a powerful narcotic EX.	0.05197629740118513	False
6446	tt6908536	32000000	48065601	Bingbing Fan	Chen Li	Tomer Oz	nm1549063	nm3155266	nm5574325	Sky Hunter	2017	115	Action,Drama,Romance	nm3155266	nm3155266,nm9329124	7.0	1055	Wu Di (Chen Li),Zhao Yali (Bingbing Fan),Gao Yuan (Leon Lee) and Ba Tu (Guo Mingyu) passed the audit and joined a legendary China Air Force Base.Liu Haochen (Jiahang Li) is Wu's friend,he is involved in a conspiracy with an international terrorist organization. After the Chinese government discovered that there is a big conspiracy behind all these terrorist attack.The Chinese air forces have to destroy the entire terrorist organization and the responsibility to defense the honor and the safety of The People's Republic of China fell on Wu Di,Zhao Yali and other young pilot's shoulders.	1.502049984310938	True
502	tt0271263	34000000	23833131	Adam Sandler	Rob Schneider	Jackie Sandler	nm0001191	nm0001705	nm0864490	Eight Crazy Nights	2002	76	Animation,Comedy,Musical	nm0444054	nm0037738,nm0184445,nm0410533,nm0001191	5.4	20519	Adam Sandler invites you to share some holiday cheer in the new, no-holds-barred musical comedy Adam Sandler's 8 Crazy Nights. Davey Stone, a 33-year old party animal, finds himself in trouble with the law after his wild ways go too far. In keeping with the holiday spirit, the judge gives Davey one last chance at redemption-spend the holiday performing community service as the assistant referee for the youth basketball league or go to jail. Davey thinks he's gotten off easy until he meets Whitey Duvall, the eccentric, elf-like head referee. The mismatch between Whitey's good heart and never-ending optimism and Davey's constant troublemaking soon have them both wondering if going to jail wouldn't have been easier! In this new, full-length animated feature about basketball, old girlfriends, holiday spirits, and the mall, Adam Sandler voices the three lead characters of Whitey, Davey, and Whitey's fraternal twin sister Eleanore!	0.7009744205595758	False
1324	tt0381192	5059000	1117424	Michiel Huisman	Victor Löw	Daan Schuurmans	nm0401264	nm0530564	nm0776934	Floris	2004	100	Action,Adventure,Family	nm0892400	nm0812121	4.6	627	Floris van Rozemond Junior, son and heir of a long line of knights of that name, refuses to go in the military 'family business' and becomes an actor, a profession scorned by his homonymous father, the general of the under-age duke of Burgundy. The duke chose this year to pay for his people to have bread and butter, rather then canons for the army, but relies for Floris senior's defense force on a novelty Holy relic from the East, a nail from the Holy Cross, supposedly rendering invulnerable, smuggled to his court in an inconspicuous place- a horse's arse, yet the men of his rival, the duchess of Gelre, think they got it from the stripped body of the courier. Now Floris Sr. is charged with transporting it, but hides it in cheeses, which get sold to the duchess and distributed to her men in Christmas bonus packets. The Gelre side decides to kidnap Floris Jr. and exchange him for the relic, but a Chinese, Pi, helps him escape; when Floris Senior won't even hear their plan, they start ...	0.2208783908127316	False
1683	tt0423169	2000000	622806	Maggie Gyllenhaal	Ryan Simpkins	Sam Bottoms	nm0350454	nm1364532	nm0098734	Sherrybaby	2006	96	Drama	nm0172877	nm0172877	6.6	11192	Sherry Swanson returns home to New Jersey after serving a three year prison sentence. Eager to reestablish a relationship with her young daughter, Sherry soon discovers that coming back to the world she left behind is far more difficult than she had planned.	0.31140284429857784	False
5467	tt3164256	15000000	3394174	Bill Murray	Leem Lubany	Zooey Deschanel	nm0000195	nm5647588	nm0221046	Rock the Kasbah	2015	106	Comedy,Music,War	nm0001469	nm0322248	5.5	9758	Richie Lanz (Bill Murray), a has-been rock manager takes his last remaining client on a USO tour of Afghanistan. When Richie finds himself in Kabul, abandoned, penniless and without his U.S. passport, he discovers a young Afghan girl named Salima with an extraordinary voice and manages her through Afghanistan's version of American Idol..	0.2262782515814499	False
2049	tt0464184	2000000	2993332	Oscar Kightley	Iaheto Ah Hi	Shimpal Lelisi	nm0452714	nm2060029	nm0500955	Samoan Wedding	2006	97	Comedy,Romance	nm1503386	nm0341219,nm0452714	6.4	1453	Meet best friends Michael, Albert, Stanley and Sefa; the ladies' man, the good boy, the weird one and the party boy. They're staring down the barrel of their thirtieth birthdays, but still act as if they're sixteen; they get drunk, they chase the wrong women and they have a remarkable record of misbehaving and causing chaos at every wedding they attend. But now Michael's younger brother Sione is getting married, and everything is about to change. Sione is their boy, the kid they used to look after, who grew up while they were still partying. And to ensure his big day isn't spoiled by his boys and their idiot antics, Sione has issued an ultimatum; the guys all have to bring dates to the wedding. And not just any dates; real girlfriends, someone they've made a commitment to. They have one month. So just how hard can it be to get a date for your best boy's wedding?	1.4966652516673742	True
5861	tt4196848	8000000	685780	Eddie Murphy	Britt Robertson	Natascha McElhone	nm0000552	nm1429380	nm0001523	Mr. Church	2016	104	Comedy,Drama	nm0000915	nm0573185	7.6	23460	Mr. Church tells the story of a unique friendship that develops when a little girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever.	0.08572248928468884	False
2346	tt0768114	2559000	960036	Aaron Kwok	Charlie Yeung	Ian Iskandar Gouw	nm0477209	nm0947777	nm2175489	After This Our Exile	2006	121	Drama	nm0848376	nm2177111,nm0848376	6.8	822	After his mother flees the family home, a son turns to thieving in order to support his father, an abusive sort who is addicted to gambling.	0.37516046300880695	False
4933	tt2231489	100000000	17150803	Kaito Ishikawa	Kenji Akabane	Kenshô Ono	nm5481013	nm3401643	nm2770525	Saint Seiya: Legend of Sanctuary	2014	93	Action,Animation,Fantasy	nm0766226	nm1030700,nm0840555,nm4330767	5.4	3953	"Warriors called ""Saints"" are the champions of hope who have always appeared since the Age of Myth whenever evil threatens the world. In this present day story, many years since the long fought ""Holy War"" we find Saori Kido, a girl troubled by her mysterious powers. She is saved by a boy, Seiya ""Bronze Saint"" from a sudden attack by an assassin, through the accident Saori realizes her destiny and mission and decides to go to ""Sanctuary"" with Seiya and his company of Bronze Saints. In Sanctuary they confront ""Pope"" and wage a desperate battle against the greatest Saints, the ""Gold Saints""."	0.1715080282849197	False
